"type","year","subject","content","option_a","option_b","option_c","option_d","answer","explanation","tags"
"choice","107-1","諮商與心理治療理論","下列何者為限時動力取向心理治療的特徵?①強調治療目標不僅僅只是緩解症狀,且要改變當事人僵化而重複的人際互動模式②治療效果可以讓當事人獲得多元人際互動方法並運用於日常生活③治療的關係本身即是讓當事人重新經驗和修正其人際互動模式","僅①②","僅②③","僅①③","①②③","①②③","限時動力心理治療（TLDP）強調透過「矯正性情緒經驗」，在治療關係中重現並修正個案的「循環適應不良模式（CMP）」，目標不僅是症狀緩解，更是人際模式的改變。","TLDP, 限時動力治療, CMP, 人際互動"
"choice","107-1","諮商與心理治療理論","阿德勒治療取向認為當一個孩子超越自卑走向優越或完美時,有三個可能危險因素,不包括下列何者?","精神障礙","生理障礙","嬌寵","忽視","精神障礙","阿德勒提出兒童發展的三種潛在錯誤生活風格來源：器官自卑（生理障礙）、被溺愛（嬌寵）、被忽視。精神障礙是結果而非成因。","阿德勒, 自卑, 生活風格, 錯誤目標"
"choice","107-1","諮商與心理治療理論","阿德勒治療取向的「出生序」及手足關係,下列敘述何者正確?","雙胞胎出生序很接近,所以個性一定很相似","童年時期手足競爭對其日後的人際關係不會有影響","個人對自己在家中地位的詮釋比實際出生序,對個體更具影響力","同一個家庭長大的孩子,其成長的心理環境也相同","個人對自己在家中地位的詮釋比實際出生序,對個體更具影響力","阿德勒學派強調「心理出生序」（Psychological birth order），即個體對自身位置的主觀知覺與詮釋，而非僅是生理順序。","阿德勒, 出生序, 手足關係, 心理出生序"
"choice","107-1","諮商與心理治療理論","阿德勒認為心理健康狀態可藉由針對下列何者之評估予以了解?","對社區或社會的貢獻","家庭星座(family constellation)","早年記憶(early recollections)","自卑情結","對社區或社會的貢獻","社會興趣（Social Interest）是阿德勒衡量心理健康的指標，具體表現為對他人、社區或社會的貢獻與連結。","阿德勒, 社會興趣, 心理健康"
"choice","107-1","諮商與心理治療理論","存在主義諮商心理師協助當事人尋找生命意義的方法,下列何者正確?","檢視過去的生命經驗,由其中找到生命意義","告知當事人,生命意義為何","理解生命意義是整個人生中持續不斷地掙扎追尋的過程","建構不同的生活願景,以追尋永恆的生命意義","理解生命意義是整個人生中持續不斷地掙扎追尋的過程","存在主義認為意義非由治療師給予，也非僅在過去，而是一個持續創造、發現與掙扎的過程。","存在主義, 生命意義, Frankl"
"choice","107-1","諮商與心理治療理論","在遊戲治療過程中,當兒童恣意四處拋灑沙子時,諮商心理師最佳的處理為何?","為了達到宣洩效果,允許兒童繼續拋灑","像對待成人一般,尊重兒童的選擇","使用設限的技巧,協助兒童學習自我控制","為了一視同仁而處罰兒童,讓他學到教訓","使用設限的技巧,協助兒童學習自我控制","遊戲治療強調設限（Limit Setting），目的是保護兒童、治療師與器材，並協助兒童發展自我控制與責任感。","遊戲治療, 設限, 自我控制"
"choice","107-1","諮商與心理治療理論","下列有關個人中心治療的限制與批評,何者正確?","既是以當事人為中心,就不應該挑戰當事人","因屬經驗取向,自然其諮商成效大多未得到驗證","最大的限制即是諮商心理師這個「人」的限制","在所有治療品質中,諮商心理師的真誠一致並非是決定關係的主要治療力量","最大的限制即是諮商心理師這個「人」的限制","個人中心治療仰賴治療師的「人」與態度（真誠、同理、無條件正向關懷）作為治療核心，因此治療師本身的成熟度與真實性成為最大限制。","個人中心治療, Rogers, 治療限制"
"choice","107-1","諮商與心理治療理論","下列何種諮商理論取向,特別看重在諮商過程中協助當事人處理真實我與理想我的落差,認識真實的自我?","完形治療學派","存在主義心理治療","精神分析學派","個人中心學派","個人中心學派","Rogers 的個人中心治療核心概念之一是「自我概念」，強調縮小「真實我」與「理想我」的差距（不一致），以達成自我統整。","個人中心治療, 自我概念, 真實我, 理想我"
"choice","107-1","諮商與心理治療理論","對於焦點解決短期治療的治療過程描述,下列何者錯誤?","建立合作的關係是治療成功的必要條件","幫助當事人找到他所做的事情當中有用的部分","每次晤談都當做初次晤談","如果當事人所做的事情無效,可鼓勵他做些不同的改變","每次晤談都當做初次晤談","SFBT 重視延續性與改變的動能，會詢問「上次晤談後有什麼變好？」，並非將每次視為獨立的初次晤談。","SFBT, 焦點解決, 治療過程"
"choice","107-1","諮商與心理治療理論","下列對於焦點解決短期諮商心理師角色的描述,何者錯誤?","諮商對話的方向與目標應由當事人主導","諮商心理師可藉由專業的諮商架構理解當事人","諮商心理師的任務是引導當事人改變,而不應主導改變的方向","為了提高改變的可能,諮商心理師應努力創造合作的關係","諮商心理師可藉由專業的諮商架構理解當事人","SFBT 強調「Not-Knowing」態度，不以病理架構去診斷當事人，而是關注解決之道。選項 B 暗示用專家架構套用，不符 SFBT 精神。","SFBT, 治療師角色, Not-Knowing"
"choice","107-1","諮商與心理治療理論","下列何者不是焦點解決短期治療的基本假定?","來談的當事人都是有能力的,只是被負向的想法困住","事出未必有因","事情都有一個正確的解決方法","問題的原因和解答之間,未必有關連","事情都有一個正確的解決方法","SFBT 認為解決之道無絕對標準，適合當事人的就是好方法（Fit），且強調「不只一種解決途徑」。","SFBT, 基本假定, 解決導向"
"choice","107-1","諮商與心理治療理論","下列何者是對合作語言系統取向的正確描述?","與策略家族治療取向的觀點相似","諮商心理師是了解當事人問題的專家","諮商心理師與當事人的合作關係可以作為當事人生活系統的矯正經驗","治療過程是一種由當事人與諮商心理師共同建構的會話系統","治療過程是一種由當事人與諮商心理師共同建構的會話系統","合作語言系統（Anderson & Goolishian）強調治療是「對話」與「共同建構」的過程，治療師處於「不知道」的位置。","合作語言系統, 社會建構, 對話"
"choice","107-1","諮商與心理治療理論","下列有關諮商基本概念的敘述,何者最正確?","諮商心理師應具有與當事人相同的生活經驗","即使諮商的當事人是多元的,但仍有所調理想的治療取向","諮商心理師能同理當事人的生活經驗比具備相同經驗更重要","諮商理論在不同族群間的適用性並沒有太多的限制","諮商心理師能同理當事人的生活經驗比具備相同經驗更重要","諮商師不可能具備所有個案的經驗，核心能力在於「同理心」與跨文化敏感度，而非親身經歷。","諮商基礎, 同理心, 多元文化"
"choice","107-1","諮商與心理治療理論","下列有關諮商心理師自我揭露的描述,何者最正確?","諮商心理師不宜自我揭露,以維持其專業形象","為了幫助當事人,諮商心理師宜多做自我揭露","任何時機的自我揭露都應該評估對當事人可能的影響","自我揭露通常與此時此刻的諮商關係無關","任何時機的自我揭露都應該評估對當事人可能的影響","自我揭露須以個案福祉為考量（Therapeutic），需謹慎評估時機與影響，不可隨意為之。","自我揭露, 倫理, 治療技術"
"choice","107-1","諮商與心理治療理論","下列有關諮商關係中諮商技術的敘述,何者最正確?","諮商心理師所使用的技術最好是由諮商關係中發展出來的","技術的使用不需太深究其根源的理論基礎","諮商心理師為了諮商關係的進展應可大量使用諮商技術","技術的使用不必然要和諮商目標一致","諮商心理師所使用的技術最好是由諮商關係中發展出來的","技術應建立在良好的治療關係之上，並依據個案脈絡自然產生，而非機械式套用。","諮商技術, 治療關係, 理論基礎"
"choice","107-1","諮商與心理治療理論","關於當事人「知後同意」的權利敘述,下列何者最正確?","「知後同意」應確保當事人能簽署文件","「知後同意」有助於建立彼此的信任關係","「知後同意」要提供當事人完整詳盡的諮商資訊","「知後同意」較不涉及法律上的基本要求","「知後同意」有助於建立彼此的信任關係","知後同意（Informed Consent）不僅是法律程序，更是尊重當事人自主權、建立治療聯盟與信任的基礎。","知後同意, 倫理, 諮商關係"
"choice","107-1","諮商與心理治療理論","下列對於心理分析治療觀點的敘述,何者最正確?","接受長期的心理治療就能澈底處理童年的需求與創傷","過去的經驗不盡然永遠是當下自我不可分割的一部分","當事人所有的移情現象不可能有「正向移情」發生","當代心理分析治療並不將移情視為當事人對治療者扭曲的知覺","當代心理分析治療並不將移情視為當事人對治療者扭曲的知覺","當代精神分析（如關係學派）認為移情是共同建構的，包含個案對治療師真實特質的反應，不完全是「扭曲」。","心理分析, 移情, 當代精神分析"
"choice","107-1","諮商與心理治療理論","下列對於心理分析治療的敘述,何者錯誤?","移情的詮釋是說明當事人內在心理的一種途徑","夢是通往潛意識的大道","自由聯想是打開當事人潛意識的基本技術","治療過程不一定要維持分析的架構","治療過程不一定要維持分析的架構","心理分析非常強調「架構」（Frame/Setting），如固定時間、地點等，以提供安全的容器讓潛意識浮現。","心理分析, 治療架構, 自由聯想"
"choice","107-1","諮商與心理治療理論","下列何者不是 Viktor Frankl意義治療法(logotherapy)的核心概念?","人們生活的動機是「追尋意義的意志力」","存在需要勇氣,我們選擇的意義會決定我們成為怎樣的人","人們想要的是追尋意義的自由","無論處於任何狀況,生活自有其意義","存在需要勇氣,我們選擇的意義會決定我們成為怎樣的人","Frankl 的核心是：意志的自由、求意義的意志、生命的意義。選項 B 較偏向沙特的觀點（存在先於本質），Frankl 強調意義是「發現」的而非純粹「創造」。","意義治療, Frankl, 存在主義"

"essay","107-1","諮商與心理治療實務與專業倫理","今日科技發達，資訊快速流通，改變了傳統的人際互動形式與助人工作樣貌，如視訊會議或網路諮商。諮商心理師進行網路諮商，應留意那些可能的風險問題？以及遵守那些網路諮商的倫理守則？","","","","","","【擬答重點】\n一、網路諮商之潛在風險：\n1. 保密與隱私風險：資料傳輸過程遭駭客入侵、個案端環境受干擾（如家人闖入）。\n2. 危機處理困難：無法及時處理自殺、自傷或暴力等緊急危機，缺乏在地資源連結。\n3. 身分確認問題：難以確認個案真實身分及是否為本人。\n4. 非語言訊息遺漏：缺乏肢體語言、語調等線索，易造成誤解。\n5. 技術層面問題：網路斷線、軟硬體故障中斷諮商。\n\n二、網路諮商之倫理守則（參照相關倫理規範）：\n1. 知後同意（Informed Consent）：明確告知網路諮商的限制、風險、收費、保密例外及緊急聯絡方式。\n2. 專業能力與資格：心理師需具備操作科技設備之能力，並接受相關訓練。\n3. 保密責任：使用加密軟體、確認個案端隱私安全、資料保存需符合資安規定。\n4. 法律與管轄權：確認雙方所在地之法律規範（如執業登記處與個案所在地之法規差異）。\n5. 界線維持：避免因網路便利性而模糊專業界線（如全天候回訊）。","網路諮商,諮商倫理,風險管理,知後同意,保密原則"
"essay","107-1","諮商與心理治療實務與專業倫理","張大華剛取得諮商心理師證照，其任職的社區機構最近分派他處理一位自殺傾向的個案，這是他第一次實作自殺個案諮商，深感責任重大並向你請教。請問，自殺的警訊（徵兆）有那些？以及自殺傾向個案的諮商歷程與做法為何？","","","","","","【擬答重點】\n一、自殺警訊（FACT觀點）：\n1. 感覺（Feelings）：絕望、無助、無價值感、過度焦慮或憤怒。\n2. 行動（Actions）：退縮、物質濫用、安排後事、送走心愛物品、搜尋自殺方法。\n3. 改變（Changes）：性格丕變、睡眠或飲食習慣劇烈改變。\n4. 威脅（Threats）：口頭透露想死念頭、寫下遺書或相關文章。\n5. 情境（Situations）：經歷重大失落（失業、分手、親人過世）、久病不癒。\n\n二、諮商歷程與做法：\n1. 建立關係與情感支持：提供溫暖、不評價的傾聽，降低個案孤獨感。\n2. 危機評估（Risk Assessment）：評估自殺意念強弱、計畫具體性、工具可得性及過往自殺史。\n3. 簽署不自殺契約（No-Suicide Contract）：雖具爭議，但常用於承諾安全，強調「求助」行動。\n4. 擬定安全計畫（Safety Plan）：辨識觸發因子、列出因應策略、建立支持名單及專業求助資源。\n5. 系統合作與轉介：聯繫家屬或重要他人建構支持網，必要時啟動強制通報或醫療轉介。\n6. 諮商介入：處理核心議題（如憂鬱、失落），增進問題解決能力與賦能。","自殺防治,危機處理,自殺警訊,諮商歷程,安全計畫"
"choice","107-1","諮商與心理治療實務與專業倫理","根據心理師法第24條規定，開業之心理諮商所應將下列何者揭示於明顯處？\n①開業執照 ②收費標準 ③諮商心理師證書 ④公會會員證書","①②③","②③④","①②④","①③④","①②③","根據《心理師法》第24條，心理治療所或心理諮商所應將開業執照、收費標準及其心理師、諮商心理師證書，揭示於明顯處。","心理師法,開業規定"
"choice","107-1","諮商與心理治療實務與專業倫理","在督導關係中易於引起倫理問題的特質，下列何者正確？\n①督導者與受督導者之權力差異 ②督導者與受督導者之經驗差距 ③督導者與受督導者之角色衝突 ④督導者與受督導者之取向衝突","僅①②","僅③④","僅①③","僅②④","僅①③","督導倫理中，權力不對等（Power Differential）容易導致剝削，而角色衝突（Role Conflict，如身兼行政主管或治療師）則會影響督導客觀性與受督導者權益。","督導倫理,雙重關係,權力差異"
"choice","107-1","諮商與心理治療實務與專業倫理","關於知後同意權的行使，下列敘述何者最正確？","相關事項在諮商初期進行說明即可","由諮商心理師準備好書面契約，讓當事人獨自閱讀","將有關訊息向當事人逐條宣讀","發展一個協助當事人在知情情況下做選擇的程序","發展一個協助當事人在知情情況下做選擇的程序","知後同意（Informed Consent）不應只是一次性的簽署或宣讀，而是一個持續的溝通歷程，確保當事人在充分理解的前提下行使自主選擇權。","知後同意,諮商倫理,當事人權益"
"choice","107-1","諮商與心理治療實務與專業倫理","對於關係界限的維持，下列敘述何者最正確？","只要避免雙重關係，就可以防止當事人受到剝削與利用","經過審慎評估、與當事人溝通、採取預防措施，有些跨越界限的情況可被接受","所有關係界限的跨越都會帶來傷害，所以一定要嚴守關係界限","在很多情況下要避免雙重關係非常困難，因此沒有必要刻意避免","經過審慎評估、與當事人溝通、採取預防措施，有些跨越界限的情況可被接受","倫理學區分「界限跨越」（Boundary Crossing，可能有利於治療）與「界限違反」（Boundary Violation，有害且剝削）。並非所有跨越都是禁止的，關鍵在於評估其對個案的益處與風險。","界限管理,雙重關係,倫理決策"
"choice","107-1","諮商與心理治療實務與專業倫理","依據精神衛生法第15條，關於精神疾病強制住院、強制社區治療，下列敘述何者錯誤？","精神疾病強制住院、強制社區治療有關事項，由地方主管機關精神疾病強制鑑定、強制社區治療審查會審查","前項審查會成員應包括心理師","召開審查會議，得通知案件之當事人或利害關係人到場說明","審查會組成、審查作業及其他應遵行事項之辦法，由中央主管機關定之","精神疾病強制住院、強制社區治療有關事項，由地方主管機關精神疾病強制鑑定、強制社區治療審查會審查","依當時精神衛生法規定，強制住院審查會是由「中央」主管機關（衛福部）設置與審查，而非地方主管機關。","精神衛生法,強制住院,法律規範"
"choice","107-1","諮商與心理治療實務與專業倫理","下列有關諮商紀錄的建立與應用，何者錯誤？","諮商心理師應該對諮商過程及個人的推理、假設及診斷病名等資訊詳盡記載在諮商紀錄中","當事人有權利查閱諮商紀錄或取得紀錄影本","不做紀錄將可能使諮商心理師陷入極大的危險處境中","即使是諮商心理師的上級行政長官，非經當事人同意，亦無權調閱當事人的諮商紀錄","諮商心理師應該對諮商過程及個人的推理、假設及診斷病名等資訊詳盡記載在諮商紀錄中","正式諮商紀錄應以客觀事實、處遇計畫為主。個人的主觀推理、猜測性假設若未經證實，通常建議記錄在私人的「過程紀錄」（Psychotherapy Notes）中，以免誤導或對當事人造成標籤化傷害。","諮商紀錄,紀錄撰寫,隱私權"
"choice","107-1","諮商與心理治療實務與專業倫理","當事人剛考上高中，因為與男友發生性關係而懷孕，她在諮商的過程中透露墮胎計劃，諮商心理師需要提醒當事人，依「優生保健法」規定，在她進行人工流產時須做到下列那一項：","取得男友的同意","取得法定代理人的同意","同時取得男友及父母的同意","確定這是當事人的自主意願","取得法定代理人的同意","依《優生保健法》規定，未滿20歲（修法前民法成年歲數）之未成年人施行人工流產，應得法定代理人之同意。","優生保健法,未成年人懷孕,法律議題"
"choice","107-1","諮商與心理治療實務與專業倫理","當事人告訴諮商心理師他有戒毒的困擾，諮商心理師的回應是：「我年輕時也吸毒，這種苦我懂」；另一位當事人告訴這位諮商心理師他快被他的學生給煩死了，諮商心理師也回應當事人：「我教過書，這種困擾我懂」。下列對這位諮商心理師的描述，何者最有可能？","諮商心理師很可能採用的是敘事治療取向","諮商心理師很可能過度需要當事人對他的認同","諮商心理師很可能誤解了同理及自我揭露技術的概念","諮商心理師很可能是經歷過人生百態的資深諮商心理師","諮商心理師很可能誤解了同理及自我揭露技術的概念","這種回應方式將焦點轉回治療師自身，且假設自己的經驗等同於個案的經驗，這是無效的自我揭露與缺乏準確同理心的表現。","自我揭露,同理心,諮商技術"
"choice","107-1","諮商與心理治療實務與專業倫理","在成為專業諮商心理師之前，先接受諮商或是心理治療的主要理由為何？","了解自己主要反移情的反應方式，學習如何處理反移情","在幫助他人之前要先完全處理掉自己的內在衝突","提升對當事人移情反應的覺察，以避免造成諮商的阻礙","模擬當事人在諮商情境中的反應，增加對當事人的了解","了解自己主要反移情的反應方式，學習如何處理反移情","諮商師接受個人治療有助於提升自我覺察，辨識個人未竟事務與盲點，從而妥善管理反移情（Countertransference），避免將個人需求投射到個案身上。","反移情,自我覺察,專業成長"
"choice","107-1","諮商與心理治療實務與專業倫理","關於諮商心理師個人與專業成長，下列敘述何者最正確？","成為諮商心理師是一個特殊努力的過程，包括求學、獲得知識的基礎，並要學習特別的技術或方法，這個歷程類似大多數職業所需的訓練","預備與當事人相遇，是諮商心理師訓練的核心焦點","成為一個諮商心理師，需要獻身在一個「內在改變」的歷程","一個諮商心理師對當事人了解的重要性，遠超過對自己的了解","成為一個諮商心理師，需要獻身在一個「內在改變」的歷程","諮商師的工具是「自己」（Use of Self）。專業成長不僅是技術學習，更是一個持續的內在轉化與人格成熟的歷程，以具備承載個案生命故事的能力。","專業成長,諮商師特質,自我轉化"
"choice","107-1","諮商與心理治療實務與專業倫理","諮商心理師在進行結案前需考慮的議題，下列描述何者正確？","當事人與諮商心理師都可以作出結案的決定","為求當事人的改變能鞏固，結案的決定越慢作出越好","若當事人一直對治療關係與歷程不滿意，不論當事人或諮商心理師都不應立即決定結案","諮商心理師的責任是協助當事人的所有改變或進展，未達此目標前，不應進行結案","當事人與諮商心理師都可以作出結案的決定","結案應是合作討論的過程，但雙方皆有權利提出。當事人有終止諮商的自由；治療師若評估無效或有倫理考量亦可啟動結案或轉介。","結案,諮商歷程,終止治療"
"choice","107-1","諮商與心理治療實務與專業倫理","下列何者不是初步晤談時的重點工作？","了解當事人的基本資料及主訴問題","形成完整的個案概念化","進行危機評估","了解當事人對諮商的期待","形成完整的個案概念化","初步晤談（Intake）主要在於收集資訊、建立關係、危機評估與釐清期待。「完整的個案概念化」通常需要經過多次深入評估與資料收集後才能逐步形成，非初次晤談能完成。","初步晤談,個案概念化,諮商歷程"
"choice","107-1","諮商與心理治療實務與專業倫理","在第二次的晤談中，當事人告訴諮商心理師：「我男朋友有酗酒的問題」，就內在焦點而言，諮商心理師最適切的回應是下列何者？","「妳的男朋友什麼時候開始酗酒？」","「妳和他交往前知道他酗酒嗎？」","「妳的男朋友酗酒讓妳最困擾的是什麼？」","「妳知道妳的男朋友為什麼酗酒嗎？」","「妳的男朋友酗酒讓妳最困擾的是什麼？」","諮商應聚焦於「當事人」的內在感受與反應（Internal Focus），而非將焦點放在「男朋友」（他人）的行為或原因上。C選項能引導當事人探索自身受到的影響。","諮商技術,焦點轉換,內在參考架構"
"choice","107-1","諮商與心理治療實務與專業倫理","當事人在會談中意興闌珊，當諮商心理師再確認當事人的會談意願時，當事人不置可否。諮商心理師在評估當事人問題後，認為當事人有未完成事件需要處理，於是決定繼續治療。對於這個決定，下列描述何者最合適？","諮商心理師能評估出當事人未說出口的內在動力，並形成治療計畫，足見其治療效能","諮商心理師已具備成熟治療者的特質，能突破當事人的心防，直接進入當事人的核心議題","諮商心理師雖然有確認當事人的會談意願，但當事人並沒有被明確告知會談目標，僅是消極配合","當事人看起來已承諾願意配合，因此諮商心理師在後續會談中，可以使用立即性技術，面質當事人的消極參與狀態","諮商心理師雖然有確認當事人的會談意願，但當事人並沒有被明確告知會談目標，僅是消極配合","當事人「不置可否」並非明確同意。心理師單方面決定繼續治療，忽略了知後同意與合作關係的建立，可能導致當事人僅是消極順從，缺乏真實參與。","知後同意,非自願個案,治療關係"
"choice","107-1","諮商與心理治療實務與專業倫理","諮商心理師與六歲患有血友病的兒童諮商，孩子的母親因擔心孩子受傷流血，經常打電話給學校老師阻止孩子參加任何肢體性活動。孩子在諮商時說：「你們大人都是大壞蛋，我不要再跟你們說話了。」下列何種反應，最可能是諮商心理師因個人的家庭規則，而影響其回應當事人情緒的能力？","「你覺得是大人害你沒辦法跟其他小朋友一起玩，你氣到不想跟所有的大人說話了！」","「你決定用不要再跟大人說話的方式，讓所有的大人都知道你生氣了！」","「你把我跟阻止你參加活動的媽媽歸在同一國，我好難過喔！」","「你討厭我沒關係，可是小孩子不可以討厭自己的媽媽哦！」","「你討厭我沒關係，可是小孩子不可以討厭自己的媽媽哦！」","D選項帶有強烈的價值判斷與教條式規範（家庭規則：「孩子不能討厭父母」），這阻礙了心理師同理孩子真實的憤怒情緒。","反移情,家庭規則,同理心阻礙"
"choice","107-1","諮商與心理治療實務與專業倫理","當事人與其女友已經交往八年，最近論及婚嫁，但當事人的父母反對，讓二人相當煩心，前來社區心理衛生中心尋求諮商。諮商心理師協助他們列出並探討所有解決問題的方法及其阻礙因素，並分析其利弊得失，最後解決了當事人的困擾。諮商心理師主要是採取下列那一種問題處理技巧？","資訊提供","力場分析","角色扮演","家庭作業","力場分析","力場分析（Force Field Analysis）是一種決策與問題解決技術，透過分析「驅動力」（幫助改變的因素）與「阻力」（阻礙改變的因素）及其權重，來尋求解決之道。","力場分析,問題解決,諮商技術"
"choice","107-1","諮商與心理治療實務與專業倫理","當事人說：「我試著跟父母相處，但一點用也沒有，他們對我太嚴格了。」下列那一項是諮商心理師的同理心反應？","「你的努力無法使你與父母好好相處，這讓你很沮喪」","「你再努力一點，或許可以找到與父母相處的方式」","「你責怪自己沒有再努力一點，好讓自己可和父母相處」","「你不知該不該再努力，你很不甘心，想再試一試」","「你的努力無法使你與父母好好相處，這讓你很沮喪」","同理心（Empathy）在於精準辨識並反映當事人的感受與內容。A選項準確反映了當事人的行為（努力無效）與潛在情緒（挫折/沮喪），未添加建議或解釋。","同理心,諮商技術,情感反映"
"choice","107-1","諮商與心理治療實務與專業倫理","一位受家暴所苦的婦女說：「我不知道我為何要忍受先生的暴力，我已經不愛他了！」下列那一項是諮商心理師所使用的面質技巧？","「妳很矛盾，不知道為何要忍受先生的暴力？」","「知道其他和妳相同處境的女性，最後都能鼓起勇氣離開暴力的環境，對妳也許會有幫助」","「妳一方面說不愛他，卻繼續留在家裡讓他打，對這二個現象妳怎麼說？」","「妳陷入惡性循環當中，明知道不愛他了，卻又離不開」","「妳一方面說不愛他，卻繼續留在家裡讓他打，對這二個現象妳怎麼說？」","面質（Confrontation）是用於指出當事人言行、感受或價值觀中的矛盾與不一致。C選項具體指出了「不愛他」與「留下來忍受暴力」之間的矛盾，邀請當事人探索。","面質,諮商技術,矛盾覺察"
"choice","107-1","諮商與心理治療實務與專業倫理","當事人在晤談時情緒激動的表示，不能原諒女友不告而別令其身心受創，應該也要讓她嚐嚐被欺騙感情的後果。下列諮商心理師的行動何者最適當？","探詢其所謂的後果或報復的計畫是什麼","請當事人具體描述身心受創的情形是什麼","教導放鬆的技巧，紓緩緊張、憤怒的情緒","幫助當事人回想交往期間的情形，以了解女友離開的原因","探詢其所謂的後果或報復的計畫是什麼","當個案出現報復意念或傷人風險時，首要任務是進行風險評估（Risk Assessment）。必須具體探詢其計畫內容、可行性與危險程度，以確保他人安全（預警責任）。","危機處理,風險評估,預警責任"
"choice","107-1","諮商與心理治療實務與專業倫理","在我們的日常生活中，常會發現一些有意義的巧合，但找不到其間之因果關係；內在心理的期望，以及外在事件偶然的發生，呈現一種有意義的巧合。下列那一位學者注意到此現象，稱之為「同時性（synchronicity）」？","Savickas","Tiedeman","Gelatt","Jung","Jung","榮格（C. G. Jung）提出「共時性」（Synchronicity）概念，指兩個或多個事件在意義上相關，但在因果上無關的現象。","榮格,共時性,分析心理學"
"choice","107-1","諮商與心理治療實務與專業倫理","Williamson 的指導式諮商包含：①診斷 ②預斷 ③分析 ④綜合 ⑤諮商 ⑥追蹤等六項，下列生涯諮商的順序何者正確？","③④①②⑤⑥","②①③④⑤⑥","①②③④⑤⑥","③①②④⑤⑥","③④①②⑤⑥","Williamson（特質因素論）的諮商程序為：分析（Analysis）→ 綜合（Synthesis）→ 診斷（Diagnosis）→ 預後（Prognosis）→ 諮商（Counseling）→ 追蹤（Follow-up）。","特質因素論,Williamson,諮商程序"
"choice","107-1","諮商與心理治療實務與專業倫理","有關青少年從「分離——個體化」到「自我認定」之中介歷程的描述，何者錯誤？","透過各種新經驗的充分覺察來發現尚未被發現之自我","必須將喪失或被排斥之自我找回，並整合於自我結構中","丟棄內化父母特質之限制，方能擺脫其影響，以形成良好之自我認定","「分離———個體化」對「自我認定」之影響並非直線關係","丟棄內化父母特質之限制，方能擺脫其影響，以形成良好之自我認定","健康的自我認定歷程並非完全「丟棄」父母的內化特質，而是經過審視、修正並「整合」進自己的價值體系中。完全的切割往往是反向認同，而非真正的獨立。","分離個體化,自我認定,青少年發展"
"choice","107-1","諮商與心理治療實務與專業倫理","楊國樞曾提出傳統父子軸家庭與現代夫妻軸家庭的觀點。下列何者為關於這二種家庭運作方式的錯誤描述？","父子軸家庭強調個體取向，夫妻軸家庭強調集體取向","父子軸家庭強調男性中心，夫妻軸家庭強調兩性平等","父子軸家庭強調角色優先，夫妻軸家庭強調情感優先","父子軸家庭強調責任為重，夫妻軸家庭強調權利為重","父子軸家庭強調個體取向，夫妻軸家庭強調集體取向","楊國樞指出，傳統華人家庭以「父子軸」為主，強調集體取向、權威與責任；現代家庭轉向「夫妻軸」，傾向強調個體取向、平等與情感。A選項敘述顛倒。","本土心理學,楊國樞,家庭結構"
"choice","107-1","諮商與心理治療實務與專業倫理","對老年人的心理諮商工作最常遇到的特定挑戰議題，不包括下列何者？","為自己的死亡做準備","慢性疾病的因應","家庭生命週期的凋零","哀悼親友的逝去","家庭生命週期的凋零","老年期確實面臨死亡準備、慢病與失落（喪偶/友），但「家庭生命週期的凋零」一詞描述不精確，家庭生命週期進入老年階段是「空巢」或「退休」，家庭並未凋零，而是進入不同發展階段（如祖孫關係）。且相較其他三項，這是較不通用的描述。","老人諮商,發展議題,生命週期"
"choice","107-1","諮商與心理治療實務與專業倫理","康康，28歲，男性，未婚，諮商心理師；淑美，45歲，女性，已婚，曾長期擔任外包清潔公司清潔工，三個月前失業至今。淑美因失業後心情低落、焦慮而尋求康康為其進行諮商。康康對諮商的目標是「鼓勵淑美追求個人潛能的實現」，而淑美的目標是「穩定心情、找到一份新工作」。關於康康、淑美之諮商狀況，下列敘述何者最正確？","淑美應依循康康的方向來提昇自我，因為每個人都可以追求「自我實現」","淑美不是接受心理諮商的恰當對象，因為諮商無法幫助她達到目標","康康沒有看到淑美的需求和渴望，可能原因在於兩人所屬社會階級、生命階段的不同","淑美應選擇由背景相近的心理師來進行諮商，因此康康並非恰當人選","康康沒有看到淑美的需求和渴望，可能原因在於兩人所屬社會階級、生命階段的不同","這是典型的階級與文化同理落差。心理師過度投射中產階級價值觀（自我實現），忽略了個案處於生存需求（溫飽、工作）層次，違反了Maslow需求層次論的基礎，也缺乏對多元文化/階級差異的敏感度。","多元文化諮商,社會階級,諮商目標"
